type,instance,num_var,num_rep,num_steps,compress,runtime,gap,best_energy,gnd_energy,success_prob,best_solution
6,precision_2_timepoints_4.coo,128,64,10000,false,0.323295947,1.507537688442211,-392.0,-398.0,0.0,1;-1;-1;1;1;-1;1;-1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;1;1;-1;-1;1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;1;1;1;1;-1;1;-1;1;1;1;-1;1;-1;1;-1;1;1;1;-1;1;1;1;-1;1;-1;1;1;-1;-1;-1;-1;1;1;1;1;1;-1;1;-1;1;1;1;-1;1;-1;1;-1;1;1;1;-1;1;1;1;-1;1;1;-1;-1;1;-1;1;1;-1;1;1;1;1;-1;1;-1;1;1;1;-1;1;-1;1;-1;1;1;1;-1;1;1;1;-1;1;-1;1;-1;-1
6,precision_2_timepoints_5.coo,160,64,10000,false,0.342069586,2.490421455938697,-509.0,-522.0,0.0,1;-1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;1;-1;-1;-1;1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;1;-1;-1;1;-1;1;-1;1;-1;-1;-1;1;1;-1;1;-1;-1;-1;1;1;1;1;-1;1;-1;-1;-1;1;-1;1;1;-1;-1;-1;-1;1;-1;1;-1;1;-1;-1;-1;1;1;1;1;-1;-1;-1;1;1;1;1;-1;1;-1;-1;-1;1;-1;1;1;-1;-1;-1;-1;1;1;-1;-1;1;-1;-1;-1;1;1;1;1;-1;-1;-1;1;1;1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;-1;1;1;1;1;-1;-1;-1;1;1;1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1
6,precision_2_timepoints_2.coo,64,128,1000,false,0.032059424,1.3333333333333335,-148.0,-150.0,0.0,-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1
6,precision_2_timepoints_3.coo,96,128,1000,false,0.040616549,0.7299270072992701,-272.0,-274.0,0.0,1;-1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;1;1;-1;-1;-1;-1;1;-1;1;-1;1;1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;1
6,precision_2_timepoints_4.coo,128,128,1000,false,0.04027654,1.0050251256281406,-394.0,-398.0,0.0,-1;1;-1;1;-1;1;-1;1;-1;1;-1;-1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;-1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;1;-1;1;-1;-1;1;1;-1;1;-1;1;-1;1;-1;1;-1;-1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;-1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;1;-1;1;1;1
6,precision_2_timepoints_5.coo,160,128,1000,false,0.039967091,1.532567049808429,-514.0,-522.0,0.0,1;-1;-1;1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;1;1;-1;-1;1;1;-1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;-1;-1;1;1;-1;-1;-1;-1;1;1;-1;-1;1;1;1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;-1;-1;1;1;-1;-1;-1;-1;1;1;-1;-1;1;1;1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;1;1;-1;-1;1;1;1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;-1;-1;1;-1;-1
6,precision_2_timepoints_2.coo,64,128,10000,false,0.317956208,0.6666666666666667,-149.0,-150.0,0.0,1;-1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1
6,precision_2_timepoints_3.coo,96,128,10000,false,0.309351612,1.094890510948905,-271.0,-274.0,0.0,-1;1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;-1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;-1;1;1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1
6,precision_2_timepoints_4.coo,128,128,10000,false,0.320239017,2.512562814070352,-388.0,-398.0,0.0,1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;-1;1;-1;-1;1;-1;1;1;-1;1;-1;-1;-1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;-1;1;1;-1;1;-1;1;1;1;1;1;-1;-1;1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;-1;1;1;1;-1;-1;1;1;1;1;1;-1;-1;1;-1;-1;1;-1;1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;-1;1;1;1;1;-1;1;1;1;1;1;-1;-1;-1;-1;-1;-1
6,precision_2_timepoints_5.coo,160,128,10000,false,0.353895275,1.9157088122605364,-512.0,-522.0,0.0,1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;1;1;-1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1;1;1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;1;1;-1;-1;-1;-1;1;-1;1;-1;1;1;-1;-1;1;1;-1;-1;1;1;1;-1;1;-1;-1;-1;1;1;-1;-1;-1;-1;1;-1;-1;1;-1;-1;1;-1;1;-1;1;1;-1;-1;1;1;-1;-1;1;1;1;-1;1;-1;-1;-1;1;1;-1;-1;-1;-1;1;-1;-1
6,precision_2_timepoints_2.coo,64,256,1000,false,0.039830452,0.6666666666666667,-149.0,-150.0,0.0,1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;-1;1;1;1;-1;1;-1;1;1;-1
